FullName;CRE;WDECL;COMPARL;REPORT;REPORT_SHADOW;COMPARL_SHADOW;MOTION;OQ;WEXP;WQ;MINT;IMOTION;PRUNACT
Charles GOERENS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jean-Marie LE PEN;107;0;0;0;0;0;1;7;43;11;0;5;0
Reimer BÖGE;175;0;19;110;0;0;2;7;0;9;0;0;0
Karl-Heinz FLORENZ;163;3;0;48;0;0;1;11;0;14;1;0;0
Godelieve QUISTHOUDT-ROWOHL;83;0;10;24;0;0;7;3;0;10;0;0;0
Bruno GOLLNISCH;1481;17;0;0;0;0;1;7;221;19;0;8;0
Michèle ALLIOT-MARIE;27;0;0;0;0;0;36;1;0;11;0;0;0
Viviane REDING;17;0;0;5;0;0;2;4;0;14;0;0;0
Alain LAMASSOURE;153;8;6;24;0;0;1;6;0;18;0;1;0
Elmar BROK;880;9;9;99;0;0;221;3;2;7;0;0;0
James NICHOLSON;633;12;6;17;0;0;13;2;0;14;0;0;0
Miguel ARIAS CAÑETE;128;0;0;10;0;0;0;0;0;0;0;0;0
David MARTIN;5094;14;22;27;0;0;79;5;29;58;0;0;0
Gérard DEPREZ;498;13;53;48;0;0;370;17;137;49;1;0;0
Emmanouil GLEZOS;55;0;0;0;0;0;15;2;0;25;0;0;0
Marianne THYSSEN;530;2;1;23;0;0;0;0;0;1;0;0;0
Sylvia-Yvonne KAUFMANN;1347;6;7;14;0;0;14;8;2;3;0;0;0
Dieter-Lebrecht KOCH;134;8;0;17;0;0;0;7;5;8;0;0;0
Constanze KREHL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carlos COELHO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bernd LANGE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Martin SCHULZ;1920;4;0;6;0;0;0;0;0;0;0;0;0
Evelyne GEBHARDT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Markus FERBER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thomas MANN;550;13;11;10;0;0;75;2;3;4;0;0;0
Peter LIESE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Werner LANGEN;371;0;19;62;0;0;8;3;0;61;0;0;0
Annemie NEYTS-UYTTEBROECK;167;2;4;4;0;0;6;0;0;0;0;0;0
Pervenche BERÈS;817;1;41;74;0;0;12;3;0;12;0;0;0
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA;655;0;14;23;0;0;142;0;2;45;0;0;0
Françoise GROSSETÊTE;1081;31;8;31;0;0;14;10;117;87;0;0;0
Heidi HAUTALA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Richard HOWITT;738;18;4;15;0;0;173;1;0;24;0;0;0
Brian CROWLEY;722;0;0;12;0;0;0;0;0;33;0;0;0
Olli REHN;30;0;2;0;0;0;1;0;0;3;0;0;0
Paavo VÄYRYNEN;150;1;3;3;0;0;110;5;34;14;0;0;0
Antonio TAJANI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Paul RÜBIG;1448;4;25;34;0;0;12;8;0;37;1;0;0
Richard CORBETT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rainer WIELAND;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Linda McAVAN;278;13;7;9;0;0;41;22;0;10;0;0;0
Ian HUDGHTON;1152;4;3;11;0;0;2;0;2;47;0;0;0
Michael GAHLER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Othmar KARAS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Frédérique RIES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jo LEINEN;429;23;7;40;0;0;26;16;0;13;0;1;0
Udo BULLMANN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marit PAULSEN;379;6;0;38;0;0;0;2;0;1;0;1;0
Renate SOMMER;229;8;2;14;0;0;18;19;0;25;1;0;0
Angelika NIEBLER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pilar AYUSO;245;3;7;16;0;0;3;1;0;34;0;0;0
Elena VALENCIANO;375;6;3;9;0;0;388;7;161;72;0;0;0
Marielle DE SARNEZ;921;5;7;16;0;0;258;11;38;46;0;0;0
Thierry CORNILLET;97;4;2;12;0;0;2;0;0;10;0;0;0
Tokia SAÏFI;933;1;6;8;0;0;35;10;407;62;0;1;0
Claude TURMES;387;10;11;18;0;0;9;4;0;34;0;0;0
Gianni PITTELLA;543;13;3;29;0;0;30;3;0;0;0;0;0
Raffaele FITTO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bas BELDER;1229;7;8;18;0;0;31;1;5;21;1;0;0
Geoffrey VAN ORDEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Roger HELMER;320;10;0;0;0;0;1;0;0;4;0;0;0
Claude MORAES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Timothy Charles Ayrton TANNOCK;1710;28;6;15;0;0;450;4;69;85;0;1;0
Nigel FARAGE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jean LAMBERT;583;51;8;34;0;0;82;24;2;87;0;0;0
Neena GILL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Philip BRADBOURN;182;2;4;13;0;0;0;0;0;0;0;0;0
Timothy KIRKHOPE;546;8;2;29;0;0;16;2;0;2;0;0;0
Catherine STIHLER;1463;23;7;15;0;0;2;6;167;43;0;1;0
Jill EVANS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jacqueline FOSTER;156;4;3;8;0;0;1;13;2;1;0;1;0
Daniel HANNAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nirj DEVA;312;10;22;12;0;0;9;1;0;4;0;0;0
Bart STAES;914;14;17;68;0;0;168;24;73;164;1;0;0
Brice HORTEFEUX;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kathleen VAN BREMPT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mary HONEYBALL;130;11;2;15;0;0;3;0;1;20;0;0;0
Sylvie GODDYN;271;4;0;0;0;0;9;23;92;93;0;51;0
Mario BORGHEZIO;677;54;0;2;0;0;15;14;2;341;0;26;0
Manuel dos SANTOS;1852;2;8;4;0;0;0;0;10;2;0;0;0
Esther HERRANZ GARCÍA;149;7;6;8;0;0;5;1;0;81;0;0;0
Alojz PETERLE;507;7;5;7;0;0;15;16;679;21;3;0;0
Kateřina KONEČNÁ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jiří MAŠTÁLKA;480;13;10;8;0;0;49;14;167;54;0;0;0
Miloslav RANSDORF;134;7;7;7;0;0;25;2;0;2;0;0;0
Jan ZAHRADIL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bogusław LIBERADZKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Janusz LEWANDOWSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Janusz WOJCIECHOWSKI;260;23;2;11;0;0;9;4;0;37;0;1;0
Andrzej GRZYB;221;4;3;4;0;0;64;4;0;13;0;0;0
Czesław Adam SIEKIERSKI;976;9;6;8;0;0;5;24;30;15;1;0;0
Kazimierz Michał UJAZDOWSKI;323;1;5;1;0;0;27;2;162;80;0;3;0
András GYÜRK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
József SZÁJER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Monika BEŇOVÁ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anna ZÁBORSKÁ;1029;43;22;9;0;0;106;12;213;10;4;0;0
Emmanuel MAUREL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anne SANDER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pascal ARIMONT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ana MIRANDA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eleni THEOCHAROUS;107;7;4;3;0;0;6;1;21;50;0;0;0
Florent MARCELLESI;49;1;6;0;0;0;60;5;1;88;0;0;0
Lefteris CHRISTOFOROU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nikolaos CHOUNTIS;383;1;8;0;0;0;22;13;3;197;1;0;0
Mairead McGUINNESS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marian HARKIN;1301;31;31;8;0;0;258;12;799;184;2;0;0
David CASA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gunnar HÖKMARK;748;1;17;15;0;0;18;1;46;6;0;1;0
Christofer FJELLNER;521;0;7;59;0;0;2;3;32;27;0;0;0
Anna HEDH;610;2;6;6;0;0;31;11;78;29;0;0;0
Richard ASHWORTH;165;1;2;5;0;0;2;0;1;2;0;0;0
György SCHÖPFLIN;137;1;7;4;0;0;4;2;2;14;1;0;0
Lívia JÁRÓKA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kinga GÁL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ole CHRISTENSEN;188;3;10;5;0;0;1;0;27;88;0;0;0
Margrete AUKEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lambert van NISTELROOIJ;280;2;12;9;0;0;10;9;0;17;0;0;0
Vincent PEILLON;52;1;4;7;0;0;113;5;0;9;0;0;0
Miroslav MIKOLÁŠIK;1116;7;6;6;0;0;4;11;199;15;3;0;0
Vladimír MAŇKA;809;6;2;11;0;0;19;3;391;20;1;0;0
Jean-Marie CAVADA;61;8;9;30;0;0;0;0;23;0;0;0;0
Nathalie GRIESBECK;432;12;24;6;0;0;203;31;120;54;1;0;0
Marine LE PEN;842;4;0;0;0;0;6;13;65;143;0;52;0
Daniel CASPARY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ingeborg GRÄSSLE;242;1;24;35;0;0;12;10;0;42;0;0;0
Andreas SCHWAB;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Markus PIEPER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Herbert REUL;205;4;2;17;0;0;4;5;2;19;0;0;0
Christian EHLER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Albert DESS;133;3;4;4;0;0;9;5;1;21;0;0;0
Manfred WEBER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rebecca HARMS;456;9;12;6;0;0;74;10;0;35;0;0;0
Michael CRAMER;145;5;24;12;0;0;9;8;1;38;0;0;0
Helga TRÜPEL;193;13;82;9;0;0;46;8;0;21;0;1;0
Alexander Graf LAMBSDORFF;588;6;2;15;0;0;71;3;2;12;0;0;0
Wolf KLINZ;162;2;8;13;0;0;2;0;2;19;1;0;0
Gabriele ZIMMER;281;7;12;7;0;0;26;10;0;16;0;0;0
Jörg LEICHTFRIED;545;11;3;15;0;0;12;0;0;5;0;0;0
Ivo BELET;347;12;17;13;0;0;84;6;44;110;0;1;0
Sophia IN 'T VELD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jerzy BUZEK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Laima Liucija ANDRIKIENĖ;779;0;7;5;0;0;186;2;205;9;1;0;0
Barbara KUDRYCKA;105;2;5;12;0;0;29;7;0;5;0;0;0
Jan OLBRYCHT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Inés AYALA SENDER;512;7;20;106;0;0;7;3;21;45;0;0;0
Jacek SARYUSZ-WOLSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Iratxe GARCÍA PÉREZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bogusław SONIK;471;7;7;10;0;0;10;0;0;3;0;0;0
Tadeusz ZWIEFKA;268;6;13;32;0;0;35;8;4;12;0;0;0
Ana GOMES;828;26;6;16;0;0;151;18;8;160;2;0;0
Francisco ASSIS;204;2;4;6;0;0;63;1;247;88;0;1;0
Elisa FERREIRA;237;4;8;13;0;0;2;3;0;12;0;1;0
Anneli JÄÄTTEENMÄKI;591;1;21;10;0;0;10;13;15;17;1;0;0
Hannu TAKKULA;403;33;9;10;0;0;124;7;17;64;0;1;0
Jaromír KOHLÍČEK;346;14;11;8;0;0;2;0;31;2;0;0;0
Urszula KRUPA;399;14;0;0;0;0;59;3;2;0;0;0;0
Patrizia TOIA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mirosław PIOTROWSKI;315;1;1;1;0;0;4;1;5;13;0;0;0
Mercedes BRESSO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anna FOTYGA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pier Antonio PANZERI;352;5;11;8;0;0;207;8;0;11;0;0;0
Ryszard CZARNECKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lidia Joanna GERINGER DE OEDENBERG;777;9;33;66;0;0;144;1;95;7;0;0;0
Adam GIEREK;208;5;2;5;0;0;5;1;12;9;0;0;0
Zbigniew KUŹMIUK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pilar del CASTILLO VERA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luis de GRANDES PASCUAL;153;0;4;16;0;0;32;1;3;29;0;0;0
Dariusz ROSATI;207;5;4;14;0;0;20;7;0;54;2;0;0
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA;292;4;4;38;0;0;32;2;1;35;0;0;0
Carlos ITURGAIZ;158;4;3;6;0;0;4;0;62;219;0;0;0
Antonio LÓPEZ-ISTÚRIZ WHITE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Francisco José MILLÁN MON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Matteo SALVINI;380;23;1;1;0;0;9;14;0;85;0;34;0
Willy MEYER;1169;6;4;3;0;0;0;0;0;0;0;0;0
Tunne KELAM;876;7;2;2;0;0;349;7;30;22;2;0;0
Alessandra MUSSOLINI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lorenzo CESA;62;4;0;0;0;0;171;6;5;12;2;1;0
Sajjad KARIM;229;2;13;23;0;0;16;2;0;7;0;1;0
Gerard BATTEN;903;0;0;0;0;0;1;0;129;8;0;0;0
Alyn SMITH;422;16;4;1;0;0;63;3;1;80;0;0;0
Dimitrios PAPADIMOULIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Roberts ZĪLE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Inese VAIDERE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Valdis DOMBROVSKIS;207;2;2;8;0;0;1;0;0;0;0;0;0
Tatjana ŽDANOKA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marc TARABELLA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Louis ALIOT;274;4;0;0;0;0;5;11;74;59;0;27;0
Younous OMARJEE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Syed KAMALL;518;2;7;2;0;0;4;3;0;48;0;0;0
Marian-Jean MARINESCU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ioan Mircea PAŞCU;630;4;2;5;0;0;13;4;0;2;0;0;0
Daciana Octavia SÂRBU;481;41;5;4;0;0;87;11;69;87;0;0;0
Corina CREȚU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Filiz HYUSMENOVA;173;23;4;2;0;0;187;19;22;55;0;0;0
Nedzhmi ALI;43;13;8;2;0;0;184;6;0;13;0;0;0
Matthias GROOTE;126;0;1;12;0;0;7;5;0;9;0;0;0
Daniel DALTON;281;2;4;8;0;0;17;5;9;65;0;0;0
Dame Glenis WILLMOTT;282;8;0;4;0;0;5;2;0;35;0;0;0
Aldo PATRICIELLO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kati PIRI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Christel SCHALDEMOSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adina-Ioana VĂLEAN;259;3;46;23;0;0;3;12;1;4;1;0;0
Eduard-Raul HELLVIG;74;0;0;0;0;0;0;0;0;0;0;0;0
Esther DE LANGE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cristian-Silviu BUŞOI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Georg MAYER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Elisabeth MORIN-CHARTIER;405;9;6;7;0;0;6;5;254;18;0;0;0
Vladimir URUTCHEV;64;2;0;1;0;0;0;0;12;0;0;0;0
Iliana IOTOVA;104;4;3;5;0;0;5;2;0;8;0;0;0
Victor BOŞTINARU;246;9;5;1;0;0;349;3;0;8;0;0;0
Renate WEBER;131;9;8;10;0;0;23;10;0;20;2;0;0
Ramona Nicole MĂNESCU;137;8;11;7;0;0;122;3;0;13;1;0;0
Theodor Dumitru STOLOJAN;269;3;6;6;0;0;4;5;0;0;1;0;0
Csaba SÓGOR;653;9;8;3;0;0;250;8;14;31;1;0;0
Iuliu WINKLER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
László TŐKÉS;320;1;3;3;0;0;173;4;136;24;1;0;0
Andi CRISTEA;320;1;1;0;0;0;168;4;392;21;1;0;0
Sirpa PIETIKÄINEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Elisabetta GARDINI;712;16;2;5;0;0;202;8;140;93;2;1;0
Jan HUITEMA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Innocenzo LEONTINI;9;0;5;0;0;0;1;0;50;16;0;6;0
Rachida DATI;1474;1;0;1;0;0;8;1;680;192;0;0;0
Nadine MORANO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Petr MACH;0;0;0;0;0;0;0;0;103;0;0;0;0
Victor NEGRESCU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carolina PUNSET;42;0;0;0;0;0;109;11;0;119;0;0;0
Ulrike RODUST;67;0;2;4;0;0;3;1;1;10;0;0;0
Jean-Paul DENANOT;4;2;0;0;0;0;0;0;66;0;0;0;0
Jeroen LENAERS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Viorica DĂNCILĂ;638;15;14;0;0;0;141;19;163;154;1;0;0
Pavel SVOBODA;266;3;9;16;0;0;277;14;33;26;2;0;0
Nessa CHILDERS;221;25;3;0;0;0;14;19;93;136;1;1;0
Helmut SCHOLZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Philippe LAMBERTS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eduard KUKAN;290;8;5;6;0;0;271;5;0;10;1;0;0
Monika SMOLKOVÁ;1025;6;2;0;0;0;54;10;305;44;2;0;0
Boris ZALA;95;4;0;1;0;0;34;2;0;10;2;0;0
Krisztina MORVAI;536;0;0;0;0;0;0;1;0;7;0;0;0
Morten MESSERSCHMIDT;135;5;9;1;0;0;0;2;0;83;0;3;0
Seán KELLY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Louis MICHEL;1288;6;1;2;0;0;396;24;1134;252;0;0;0
Marita ULVSKOG;346;0;7;5;0;0;43;17;85;24;0;0;0
Olle LUDVIGSSON;262;1;9;3;0;0;22;6;92;15;0;0;0
Anna Maria CORAZZA BILDT;387;7;2;5;0;0;63;15;17;14;0;1;0
Isabella LÖVIN;61;2;9;4;0;0;0;0;0;0;0;0;0
Cecilia WIKSTRÖM;329;11;14;18;0;0;253;40;0;46;0;0;0
Zigmantas BALČYTIS;2272;15;7;3;0;0;167;9;653;92;1;1;0
Vilija BLINKEVIČIŪTĖ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liisa JAAKONSAARI;187;3;5;5;0;0;205;3;0;58;1;1;0
Rolandas PAKSAS;1292;13;3;2;0;0;180;25;667;68;1;0;0
Algirdas SAUDARGAS;59;2;3;1;0;0;3;3;1;2;0;0;0
Waldemar TOMASZEWSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Viktor USPASKICH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bendt BENDTSEN;90;2;4;3;0;0;1;3;4;33;1;0;0
João FERREIRA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Morten LØKKEGAARD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jens ROHDE;100;0;3;0;0;0;1;3;0;27;0;0;0
Evžen TOŠENOVSKÝ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pavel POC;232;17;3;2;0;0;15;29;69;47;1;0;0
Olga SEHNALOVÁ;368;12;4;7;0;0;15;15;97;69;2;0;0
Bas EICKHOUT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Barbara LOCHBIHLER;190;6;3;5;0;0;314;10;1;61;0;0;0
Santiago FISAS AYXELÀ;94;16;1;5;0;0;13;5;1;79;0;0;0
Sven GIEGOLD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ska KELLER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Patrick LE HYARIC;295;4;2;1;0;0;228;30;44;111;1;0;0
Jan Philipp ALBRECHT;124;2;4;4;0;0;7;9;0;12;0;0;0
Reinhard BÜTIKOFER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Yannick JADOT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jean-Luc MÉLENCHON;2158;0;0;0;0;0;4;1;49;37;0;0;0
Michèle RIVASI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
José BOVÉ;49;6;2;5;0;0;10;8;0;53;0;0;0
Arnaud DANJEAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dennis de JONG;150;8;12;9;0;0;21;19;48;67;0;1;0
Martin HÄUSLING;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Wim van de CAMP;109;5;9;6;0;0;6;12;0;37;0;0;0
Sabine VERHEYEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Axel VOSS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Joachim ZELLER;103;1;9;5;0;0;132;3;0;12;0;0;0
Pablo ZALBA BIDEGAIN;194;5;3;10;0;0;4;5;0;63;0;0;0
Hermann WINKLER;41;0;1;2;0;0;2;4;0;12;0;0;0
Verónica LOPE FONTAGNÉ;69;3;4;3;0;0;7;1;0;14;0;0;0
Werner KUHN;65;2;3;4;0;0;0;3;0;10;0;0;0
Enrique GUERRERO SALOM;346;2;8;4;0;0;59;5;68;30;1;0;0
