FullName;CRE;WDECL;COMPARL;REPORT;REPORT_SHADOW;COMPARL_SHADOW;MOTION;OQ;WEXP;WQ;MINT;IMOTION;PRUNACT
Jarosław KALINOWSKI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Peter JAHR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jarosław WAŁĘSA;454;3;8;12;0;0;175;6;60;39;0;0;0
Lara COMI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Róża THUN UND HOHENSTEIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Danuta Maria HÜBNER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Monika HOHLMEIER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Danuta JAZŁOWIECKA;330;5;3;3;0;0;1;6;20;21;1;0;0
Janusz ZEMKE;293;2;0;0;0;0;7;3;33;15;0;0;0
Herbert DORFMANN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marek Józef GRÓBARCZYK;73;1;1;4;0;0;9;0;0;8;0;0;0
Elżbieta Katarzyna ŁUKACIJEWSKA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ryszard Antoni LEGUTKO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tomasz Piotr PORĘBA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Paul NUTTALL;94;0;0;0;0;0;1;0;0;16;0;0;0
Teresa JIMÉNEZ-BECERRIL BARRIO;115;9;3;10;0;0;29;6;1;22;0;0;0
Peter van DALEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rosa ESTARÀS FERRAGUT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Juan Fernando LÓPEZ AGUILAR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Barbara MATERA;708;10;27;56;0;0;61;16;371;231;0;1;0
Judith SARGENTINI;247;3;7;7;0;0;196;26;2;104;0;0;0
Giovanni LA VIA;1736;18;37;24;0;0;223;16;621;106;1;1;0
Marisa MATIAS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Monica MACOVEI;918;9;18;48;0;0;286;8;5;108;3;0;0
Norica NICOLAI;504;11;2;10;0;0;31;10;287;41;2;0;0
Tamás DEUTSCH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ádám KÓSA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jutta STEINRUCK;185;5;7;3;0;0;23;4;1;32;0;0;0
Jens GEIER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Traian UNGUREANU;134;1;3;2;0;0;21;5;9;12;2;0;0
Peter SIMON;52;2;2;8;0;0;6;1;1;4;0;0;0
Petra KAMMEREVERT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cristian Dan PREDA;633;4;21;13;0;0;447;3;3;15;1;1;0
Kerstin WESTPHAL;20;0;3;3;0;0;2;1;1;4;0;0;0
Knut FLECKENSTEIN;171;0;4;7;0;0;140;2;1;7;0;0;0
Ismail ERTUG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Norbert NEUSER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Claudiu Ciprian TĂNĂSESCU;204;7;1;1;0;0;8;14;423;43;0;1;0
Mariya GABRIEL;364;10;8;30;0;0;92;8;5;31;0;0;0
Alain CADEC;974;3;12;11;0;0;5;10;459;126;1;0;0
Thomas HÄNDEL;38;1;6;1;0;0;6;11;0;1;0;0;0
Cornelia ERNST;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sabine LÖSING;86;3;1;1;0;0;49;16;1;82;1;0;0
Cătălin Sorin IVAN;628;11;4;5;0;0;105;2;235;67;0;0;0
Marie-Christine VERGIAT;1175;6;2;2;0;0;321;24;282;52;1;0;0
David Maria SASSOLI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Karima DELLI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gesine MEISSNER;220;8;9;5;0;0;22;9;5;38;0;0;0
Michael THEURER;114;3;3;5;0;0;0;15;2;23;0;1;0
Nadja HIRSCH;56;2;5;2;0;0;42;1;37;23;2;0;0
Frank ENGEL;94;3;7;2;0;0;12;6;0;5;0;0;0
Zoltán BALCZÓ;363;1;0;0;0;0;0;4;118;28;0;0;0
Andrea COZZOLINO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Elisabeth KÖSTINGER;316;1;2;3;0;0;2;5;12;11;0;0;0
Eva JOLY;28;4;17;4;0;0;0;0;5;0;0;0;0
Philippe JUVIN;1542;4;1;3;0;0;36;3;946;97;0;0;0
Dominique RIQUET;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Paolo DE CASTRO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Roberto GUALTIERI;194;0;7;34;0;0;39;11;0;10;0;0;0
John Stuart AGNEW;84;0;0;0;0;0;0;0;0;0;0;0;0
José Manuel FERNANDES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Krišjānis KARIŅŠ;300;5;4;4;0;0;3;12;11;16;1;0;0
Paulo RANGEL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Takis HADJIGEORGIOU;623;10;2;0;0;0;108;20;246;136;3;0;0
Tanja FAJON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
David CAMPBELL BANNERMAN;116;0;0;0;0;0;12;1;0;15;0;0;0
Sergio Gaetano COFFERATI;226;4;10;3;0;0;4;4;0;53;0;0;0
Silvia COSTA;174;15;12;7;0;0;26;7;0;34;1;0;0
Derek VAUGHAN;803;5;16;44;0;0;5;2;163;27;0;0;0
Emma McCLARKIN;112;5;9;3;0;0;6;7;1;40;0;0;0
Kay SWINBURNE;874;0;6;6;0;0;4;4;0;7;0;0;0
Izaskun BILBAO BARANDICA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Maurice PONGA;64;1;8;3;0;0;85;3;1;17;0;0;0
Birgit SIPPEL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Milan ZVER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sandra KALNIETE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gabriel MATO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Johannes Cornelis van BAALEN;69;3;0;0;0;0;311;4;48;29;0;0;0
Gerben-Jan GERBRANDY;160;4;3;44;0;0;19;37;0;33;0;1;0
Marietje SCHAAKE;329;4;6;9;0;0;420;16;0;179;2;1;0
Gilles PARGNEAUX;417;3;5;4;0;0;30;10;9;28;1;0;0
Vicky FORD;207;2;5;5;0;0;8;7;1;17;0;0;0
Diane DODDS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sylvie GUILLAUME;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Catherine BEARDER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Julie GIRLING;337;0;7;6;0;0;17;27;5;66;0;0;0
Ashley FOX;307;4;6;5;0;0;10;2;3;45;0;0;0
William (The Earl of) DARTMOUTH;706;0;5;1;0;0;2;1;379;103;0;0;0
Nuno MELO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Franz OBERMAYR;1798;6;0;0;0;0;3;11;917;144;1;19;0
Eider GARDIAZABAL RUBIAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lorenzo FONTANA;1121;11;2;3;0;0;10;12;270;133;0;26;0
Giancarlo SCOTTÀ;35;3;0;2;0;0;0;0;79;7;0;0;0
Burkhard BALZ;84;1;1;4;0;0;2;10;0;6;0;0;0
Evelyn REGNER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Karin KADENBACH;219;10;7;3;0;0;10;21;29;34;0;0;0
Ulrike LUNACEK;493;2;2;4;0;0;74;21;1;45;0;0;0
Ivo VAJGL;88;20;0;0;0;0;0;0;831;0;0;0;0
Robert ROCHEFORT;494;2;1;2;0;0;195;8;276;43;1;0;0
Ivari PADAR;64;0;0;0;0;0;0;0;18;0;0;0;0
Guy VERHOFSTADT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramón JÁUREGUI ATONDO;190;3;4;3;0;0;25;2;16;95;0;1;0
Indrek TARAND;222;8;5;19;0;0;35;5;0;15;0;0;0
Sylvie GOULARD;125;2;2;4;0;0;1;6;3;14;0;0;0
Francisco SOSA WAGNER;164;2;2;2;0;0;0;0;0;11;0;0;0
Mara BIZZOTTO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramon TREMOSA i BALCELLS;544;9;2;5;0;0;220;0;486;0;0;0;0
Georges BACH;45;1;4;2;0;0;3;13;0;9;0;2;0
Michel DANTIN;820;5;11;2;0;0;8;7;726;78;0;0;0
Vicky MAEIJER;48;0;0;0;0;0;2;8;0;22;0;3;0
Andrey KOVATCHEV;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eva MAYDELL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tim AKER;241;0;0;0;0;0;2;1;591;9;0;0;0
Constance LE GRIP;492;4;5;5;0;0;4;6;25;20;0;0;0
Ildikó GÁLL-PELCZ;1377;4;8;4;0;0;60;5;48;33;0;0;0
Béla KOVÁCS;361;0;2;3;0;0;0;1;152;40;0;0;0
Keith TAYLOR;55;5;3;4;0;0;30;22;2;65;0;0;0
Auke ZIJLSTRA;142;0;0;0;0;0;3;0;28;106;0;1;0
Terry REINTKE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sergio GUTIÉRREZ PRIETO;366;7;5;3;0;0;99;2;265;176;0;0;0
Virginie ROZIÈRE;114;7;0;6;0;0;2;8;102;28;0;0;0
Julia REID;542;0;0;0;0;0;1;2;803;11;0;0;0
Heinz K. BECKER;173;6;2;2;0;0;5;10;19;22;2;0;0
Andrey NOVAKOV;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sampo TERHO;29;0;1;3;0;0;0;0;0;1;0;0;0
Franck PROUST;1143;1;3;4;0;0;37;9;1132;150;0;0;0
Philippe DE BACKER;140;6;2;5;0;0;35;9;0;39;0;0;0
Florian PHILIPPOT;749;0;0;0;0;0;2;10;766;125;0;250;0
Anthea McINTYRE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Josef WEIDENHOLZER;443;2;1;4;0;0;192;13;24;72;0;0;0
Jens NILSSON;154;0;5;0;0;0;13;3;31;14;0;0;0
Svetoslav Hristov MALINOV;141;4;0;1;0;0;0;4;81;48;1;0;0
Kārlis ŠADURSKIS;;;;;;;;;;;;;
Petri SARVAMAA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tonino PICULA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Biljana BORZAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jozo RADOŠ;86;26;1;2;0;0;321;5;0;162;1;20;0
Andrej PLENKOVIĆ;908;5;0;2;0;0;144;1;0;32;0;1;0
Birgit COLLIN-LANGEN;235;1;1;3;0;0;0;7;175;16;0;0;0
Eric ANDRIEU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Martina ANDERSON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nils TORVALDS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Isabelle THOMAS;293;5;3;11;0;0;13;6;146;35;0;1;0
Mark DEMESMAEKER;345;5;0;2;0;0;196;19;107;98;0;0;0
Anneleen VAN BOSSUYT;84;2;4;1;0;0;3;3;56;60;0;0;0
Brian HAYES;622;22;3;11;0;0;113;1;75;120;1;1;0
Marlene MIZZI;1355;19;0;0;0;0;0;0;1097;0;0;0;0
Roberta METSOLA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ruža TOMAŠIĆ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dubravka ŠUICA;980;22;0;0;0;0;0;0;1106;0;0;0;0
Davor Ivo STIER;977;9;0;2;0;0;188;3;0;37;0;1;0
Ivana MALETIĆ;1164;8;6;2;0;0;240;6;1016;35;3;2;0
Martina MICHELS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rina Ronja KARI;53;0;0;0;0;0;24;14;0;34;0;0;0
Christine REVAULT D'ALLONNES BONNEFOY;177;0;1;2;0;0;13;17;127;49;0;0;0
Christos STYLIANIDES;215;0;0;0;0;0;0;0;0;0;0;0;0
Neoklis SYLIKIOTIS;535;6;2;2;0;0;102;23;235;196;1;0;0
Costas MAVRIDES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Demetris PAPADAKIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pascal DURAND;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jan KELLER;16;3;0;0;0;0;0;2;4;14;0;0;0
Andrus ANSIP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kaja KALLAS;77;4;4;2;0;0;45;6;0;14;0;0;0
Marju LAURISTIN;58;2;2;2;0;0;22;4;0;8;0;0;0
Miroslav POCHE;345;7;1;10;0;0;186;12;359;32;0;0;0
Jana TOOM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luděk NIEDERMAYER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jaromír ŠTĚTINA;178;1;0;2;0;0;237;1;97;6;0;0;0
Tibor SZANYI;1090;21;5;2;0;0;161;20;294;178;1;1;0
Stanislav POLČÁK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
István UJHELYI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pavel TELIČKA;1227;5;6;3;0;0;390;12;1176;107;1;0;0
Petr JEŽEK;291;5;13;2;0;0;273;10;528;39;0;0;0
Dita CHARANZOVÁ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Martina DLABAJOVÁ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Michaela ŠOJDROVÁ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Norbert ERDŐS;541;5;0;1;0;0;2;9;316;144;2;0;0
Andrea BOCSKOR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tomáš ZDECHOVSKÝ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Andor DELI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
György HÖLVÉNYI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tamás MESZERICS;43;3;0;3;0;0;71;2;0;4;0;0;0
Benedek JÁVOR;144;7;3;5;0;0;31;36;2;141;0;1;0
Csaba MOLNÁR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Péter NIEDERMÜLLER;135;4;3;1;0;0;29;13;4;99;1;1;0
Louis-Joseph MANSCOUR;86;0;0;0;0;0;29;4;97;18;0;0;0
Henna VIRKKUNEN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jussi HALLA-AHO;53;2;0;2;0;0;13;0;0;16;0;0;0
Marc JOULAUD;698;0;2;1;0;0;4;3;784;39;0;0;0
Renaud MUSELIER;248;2;0;0;0;0;1;3;201;65;0;0;0
Fernando RUAS;756;3;1;2;0;0;57;6;877;47;2;0;0
Jérôme LAVRILLEUX;65;0;2;0;0;0;3;3;0;176;0;0;0
Angélique DELAHAYE;203;3;4;1;0;0;7;6;220;51;0;0;0
Sofia RIBEIRO;364;6;5;2;0;0;7;4;415;23;0;0;0
Cláudia MONTEIRO DE AGUIAR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Miapetra KUMPULA-NATRI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Merja KYLLÖNEN;99;14;5;2;0;0;211;63;5;112;4;1;0
Maria João RODRIGUES;140;0;0;2;0;0;7;1;0;5;0;0;0
Gilles LEBRETON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carlos ZORRINHO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Joëlle BERGERON;58;0;4;3;0;0;2;5;20;63;2;0;0
Ricardo SERRÃO SANTOS;282;8;4;2;0;0;6;5;2;48;1;2;0
António MARINHO E PINTO;82;2;2;2;0;0;10;6;2;51;1;0;0
Artis PABRIKS;29;2;1;2;0;0;4;3;12;6;1;0;0
Guillaume BALAS;56;2;0;2;0;0;39;10;110;26;0;0;0
Iveta GRIGULE-PĒTERSE;5;0;0;0;0;0;1;1;40;7;0;0;0
Andrejs MAMIKINS;990;2;2;4;0;0;49;2;666;161;0;0;0
Pedro SILVA PEREIRA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marie-Christine ARNAUTU;945;9;0;0;0;0;4;14;1003;140;0;37;0
Marijana PETIR;1130;13;7;1;0;0;252;11;1264;101;5;1;0
Mireille D'ORNANO;849;15;1;0;0;0;15;30;1220;192;0;211;0
Dominique MARTIN;779;9;0;0;0;0;2;12;1034;278;1;73;0
Aymeric CHAUPRADE;0;1;0;0;0;0;0;0;0;0;0;0;0
Marie-Christine BOUTONNET;410;4;0;0;0;0;2;14;697;41;0;27;0
Ivan JAKOVČIĆ;1679;55;4;1;0;0;409;22;1263;600;5;40;0
Jean-Luc SCHAFFHAUSER;251;1;0;0;0;0;8;14;0;40;0;17;0
Davor ŠKRLEC;576;7;1;1;0;0;187;24;904;42;1;0;0
Steeve BRIOIS;804;4;0;0;0;0;2;13;674;123;0;95;0
Mylène TROSZCZYNSKI;673;5;0;0;0;0;4;15;925;34;0;33;0
Gabrielius LANDSBERGIS;90;2;0;5;0;0;27;2;0;12;0;0;0
Nicolas BAY;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bernard MONOT;468;0;0;0;0;0;2;13;714;34;0;24;0
Antanas GUOGA;645;8;0;0;0;0;74;3;764;44;0;2;0
Giovanni TOTI;13;2;0;0;0;0;5;0;0;7;0;0;0
Joëlle MÉLIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Petras AUŠTREVIČIUS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Edouard FERRAND;676;14;0;0;0;0;5;13;156;112;0;88;0
Valentinas MAZURONIS;308;3;0;0;0;0;264;14;69;18;0;0;0
Sophie MONTEL;979;6;0;0;0;0;2;14;635;295;0;309;0
Jean-François JALKH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dominique BILDE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Alberto CIRIO;904;12;0;0;0;0;2;9;571;81;2;4;0
Jean ARTHUIS;662;0;12;6;0;0;5;0;549;29;1;0;0
Mady DELVAUX;25;0;0;5;0;0;2;2;0;13;0;1;0
Tiziana BEGHIN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marco VALLI;290;4;2;4;0;0;32;19;61;258;2;2;0
Eleonora EVI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Marco ZANNI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Alfred SANT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dan NICA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Maria GRAPINI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Damian DRĂGHICI;19;5;0;1;0;0;10;5;6;5;0;0;0
Renata BRIANO;539;15;3;1;0;0;7;11;982;89;1;2;0
Luigi MORGANO;95;6;4;1;0;0;42;10;93;44;2;1;0
Sorin MOISĂ;107;0;2;2;0;0;135;3;14;95;0;0;0
Doru-Claudian FRUNZULICĂ;1301;23;13;2;0;0;189;13;956;363;3;2;0
Daniele VIOTTI;246;3;3;7;0;0;15;9;371;76;1;0;0
Laurenţiu REBEGA;128;6;1;0;0;0;12;7;21;46;1;0;0
Claudia ȚAPARDEL;627;16;2;1;0;0;121;7;753;169;1;0;0
Remo SERNAGIOTTO;325;15;0;0;0;0;8;5;417;64;0;1;0
Flavio TOSI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
David BORRELLI;54;6;6;3;0;0;16;19;3;81;1;2;0
Marco AFFRONTE;46;8;2;4;0;0;18;34;0;189;0;0;0
Alessandra MORETTI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Flavio ZANONATO;98;4;0;1;0;0;79;6;26;42;0;0;0
Cécile Kashetu KYENGE;243;1;1;2;0;0;146;15;83;48;0;0;0
Siegfried MUREŞAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Isabella DE MONTE;297;10;4;3;0;0;124;21;103;98;1;0;0
Elly SCHLEIN;95;2;5;1;0;0;11;11;0;61;0;0;0
Mircea DIACONU;12;2;2;2;0;0;2;2;0;13;0;1;0
David McALLISTER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jens GIESEKE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Norbert LINS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sven SCHULZE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Barbara SPINELLI;117;4;1;2;0;0;201;37;0;84;2;0;0
Laura AGEA;76;7;3;4;0;0;85;20;0;189;2;3;0
Fabio Massimo CASTALDO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dario TAMBURRANO;172;10;1;1;0;0;45;29;40;325;2;3;0
Simona BONAFÈ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arne GERICKE;678;4;1;0;0;0;115;15;17;49;1;0;0
Julia REDA;49;2;2;2;0;0;9;4;0;34;0;0;0
Enrico GASBARRA;360;24;1;1;0;0;146;11;221;176;0;1;0
Klaus BUCHNER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Goffredo Maria BETTINI;18;0;0;1;0;0;135;3;0;6;0;0;0
Bernd LUCKE;390;1;2;3;0;0;5;8;236;32;0;0;0
Nicola DANTI;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dietmar KÖSTER;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hans-Olaf HENKEL;356;1;2;0;0;0;29;2;219;83;1;0;0
Bernd KÖLMEL;313;0;4;0;0;0;6;4;242;27;1;0;0
Beatrix von STORCH;743;2;0;0;0;0;81;7;215;106;4;0;0
Martina WERNER;24;0;0;0;0;0;10;3;0;15;0;0;0
Joachim STARBATTY;293;2;0;0;0;0;6;4;230;16;1;0;0
Fulvio MARTUSCIELLO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ulrike TREBESIUS;174;0;2;0;0;0;7;2;97;6;0;0;0
